priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,trog_disjunctive_despite_noise_she_focus,BROKEN,0.063,0.419,0.419,"Ondanks het lawaai in het klaslokaal concentreerde ze zich op het lezen van haar schrift."
2,trog_postmod_duck_following_turtle_walking,BROKEN,0.188,0.487,0.487,"De eend die de schildpad volgt, loopt over de brug."
3,trog_preploc_fish_swim_beneath_whale,HARD,0.289,0.455,0.536,"De vissen zwemmen onder een walvis en een zeeschildpad."
4,trog_conditional_teacher_give_if_stand_line,HARD,0.324,0.869,0.611,"De leraar zal de leerlingen taart geven, als ze in de rij gaan staan."
5,trog_disjunctive_he_wear_despite_size,HARD,0.333,0.724,0.611,"Hij droeg de clownshoed, ondanks de grote omvang."
6,trog_embedding_cat_cow_chase_black,HARD,0.340,0.238,0.611,"De kat die door de koe wordt achtervolgd, is zwart."
7,trog_preploc_plane_gray_above_cloud,HARD,0.354,0.820,0.798,"Het vliegtuig dat grijs is, is boven de wolken."
8,trog_postmod_boy_chasing_horse_tall,HARD,0.375,0.850,0.798,"de jongen die het paard achtervolgt, is lang"
9,trog_relclause_girl_chase_dog_that_big,HARD,0.404,0.923,0.798,"het meisje achtervolgt de hond die groot is"
10,trog_additive_hose_drink_sheep_eat,HARD,0.417,0.941,0.798,"het paard dronk water bij de schuur, en de schapen aten gras bij het hek"
11,trog_revpassive_horse_chased_man,HARD,0.438,0.798,0.798,"het paard wordt achtervolgd door de man"
12,trog_revpassrelclause_girl_wearing_backpack_shown_flower,HARD,0.474,0.650,0.798,"Het meisje met de rugzak om kreeg van haar vriendin een bloem te zien."
13,trog_xnoty_horse_not_boy_stand,HARD,0.479,0.752,0.798,"het paard, maar niet de jongen, staat"
14,trog_conjcoord_kid_clean_but_forget,HARD,0.479,0.837,0.798,"De kinderen hebben de kamer opgeruimd, maar zijn vergeten de trein op te bergen."
15,trog_noun_shoe,CEILING,1.000,0.947,0.950,"Kies het plaatje van de schoen."
16,trog_noun_bird,CEILING,1.000,0.953,0.950,"Kies het plaatje van de vogel."
17,trog_noun_comb,CEILING,1.000,0.930,0.950,"Kies het plaatje van de kam."
18,trog_noun_apple,CEILING,1.000,0.978,0.950,"Kies het plaatje van de appel."
19,trog_verb_sitting,CEILING,1.000,0.948,0.950,"Kies het plaatje waarop zitten te zien is."
20,trog_verb_running,CEILING,1.000,0.926,0.950,"Kies het plaatje waarop rennen te zien is."
21,trog_adjective_tall,CEILING,1.000,0.932,0.950,"Kies het plaatje waarop lang te zien is."
22,trog_adjective_red,CEILING,1.000,0.952,0.950,"Kies het plaatje waarop rood te zien is."
23,trog_adjective_black,CEILING,1.000,0.973,0.950,"Kies het plaatje waarop zwart te zien is."
24,trog_2combo_boy_run,CEILING,1.000,0.988,0.950,"de jongen rent"
25,trog_2combo_red_ball,CEILING,1.000,0.982,0.950,"de rode bal"
26,trog_negative_girl_not_jump,CEILING,1.000,0.958,0.950,"het meisje springt niet"
27,trog_pluralmorph_cats_look_ball,CEILING,1.000,0.899,0.950,"de katten kijken naar de bal"
28,trog_pluralmorph_boys_pick_apples,CEILING,1.000,0.897,0.950,"de jongens plukken de appels"
29,trog_inon_cup_in_box,CEILING,1.000,0.894,0.950,"de beker zit in de doos"
30,trog_notonly_box_notonly_big_blue,CEILING,1.000,0.938,0.950,"de doos is niet alleen groot, maar ook blauw"
