priority,item_uid,flag,p_vlm,p_human,p_pred_child,transcript
1,trog_postmod_duck_following_turtle_walking,BROKEN,0.106,0.487,0.440,"Die Ente, die der Schildkröte folgt, geht über die Brücke."
2,trog_disjunctive_despite_noise_she_focus,HARD,0.261,0.419,0.440,"Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes."
3,trog_embedding_cat_cow_chase_black,HARD,0.275,0.238,0.440,"die Katze, die die Kuh jagt, ist schwarz"
4,trog_postmod_boy_chasing_horse_tall,HARD,0.354,0.850,0.620,"der Junge, der das Pferd jagt, ist groß"
5,trog_preploc_fish_swim_beneath_whale,HARD,0.388,0.455,0.620,"Die Fische schwimmen unter einem Wal und einer Meeresschildkröte."
6,trog_adjective_tall,HARD,0.471,0.932,0.620,"Wähle das Bild aus, das etwas Großes zeigt."
7,trog_embedding_boy_dog_chase_big,HARD,0.493,0.242,0.620,"der Junge, den der Hund jagt, ist groß"
8,trog_xnoty_horse_not_boy_stand,HARD,0.507,0.752,0.731,"das Pferd, aber nicht der Junge, steht"
9,trog_relclause_dog_chase_horse_that_brown,HARD,0.507,0.792,0.731,"der Hund jagt das Pferd, das braun ist"
10,trog_revpassrelclause_girl_wearing_backpack_shown_flower,HARD,0.559,0.650,0.731,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt."
11,trog_preploc_plane_gray_above_cloud,HARD,0.565,0.820,0.796,"Das Flugzeug, das grau ist, befindet sich über den Wolken."
12,trog_revpassive_horse_chased_man,HARD,0.580,0.798,0.796,"das Pferd wird von dem Mann gejagt"
13,trog_conditional_we_dance_if_music_play,HARD,0.588,0.770,0.796,"Wir tanzen zusammen, wenn Musik läuft."
14,trog_noun_shoe,CEILING,1.000,0.947,0.956,"Wähle das Bild mit dem Schuh."
15,trog_noun_bird,CEILING,1.000,0.953,0.956,"Wähle das Bild mit dem Vogel."
16,trog_noun_comb,CEILING,1.000,0.930,0.956,"Wähle das Bild mit dem Kamm."
17,trog_noun_apple,CEILING,1.000,0.978,0.956,"Wähle das Bild mit dem Apfel."
18,trog_verb_eating,CEILING,1.000,0.945,0.956,"Wähle das Bild aus, das jemanden beim essen zeigt."
19,trog_verb_picking,CEILING,1.000,0.912,0.956,"Wähle das Bild aus, das zeigt, wie jemand etwas pflückt."
20,trog_verb_sitting,CEILING,1.000,0.948,0.956,"Wähle das Bild aus, das zeigt, wie jemand sitzt."
21,trog_adjective_long,CEILING,1.000,0.972,0.956,"Wähle das Bild aus, das etwas Langes zeigt."
22,trog_adjective_red,CEILING,1.000,0.952,0.956,"Wähle das Bild aus, das etwas Rotes zeigt."
23,trog_adjective_black,CEILING,1.000,0.973,0.956,"Wähle das Bild aus, das etwas Schwarzes zeigt."
24,trog_2combo_boy_run,CEILING,1.000,0.988,0.956,"der Junge rennt."
25,trog_2combo_dog_sit,CEILING,1.000,0.959,0.956,"der Hund sitzt."
26,trog_2combo_red_ball,CEILING,1.000,0.982,0.956,"der rote Ball."
27,trog_negative_boy_not_run,CEILING,1.000,0.914,0.956,"der Junge rennt nicht."
28,trog_negative_girl_not_jump,CEILING,1.000,0.958,0.956,"das Mädchen hüpft nicht."
29,trog_notonly_notonly_girl_cat_sit,CEILING,1.000,0.917,0.956,"nicht nur das Mädchen, sondern auch die Katze sitzt"
